VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
ECB6_EBA_432787,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432781,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_433023,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431275,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_433013,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431265,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_433043,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431295,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_433033,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431285,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432990,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_432998,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433007,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431230,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431238,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431148,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431221,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431248,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432353,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432414,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432220,EBA_MI340,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431969,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431964,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432678,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432986,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_432994,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_433002,EBA_II676,1900-01-01,9999-12-31,EBA_Integer,false,1
ECB6_EBA_431226,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431234,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431199,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431165,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431182,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431216,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_431242,EBA_MI136,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432409,EBA_MI503,1900-01-01,9999-12-31,EBA_Monetary,false,1
