MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_433107,Variable set for combination EBA_433107,EBA_433107,Variable set for combination EBA_433107
ECB6,ECB6_EBA_433127,Variable set for combination EBA_433127,EBA_433127,Variable set for combination EBA_433127
ECB6,ECB6_EBA_433147,Variable set for combination EBA_433147,EBA_433147,Variable set for combination EBA_433147
ECB6,ECB6_EBA_431483,Variable set for combination EBA_431483,EBA_431483,Variable set for combination EBA_431483
ECB6,ECB6_EBA_431503,Variable set for combination EBA_431503,EBA_431503,Variable set for combination EBA_431503
ECB6,ECB6_EBA_431346,Variable set for combination EBA_431346,EBA_431346,Variable set for combination EBA_431346
ECB6,ECB6_EBA_431524,Variable set for combination EBA_431524,EBA_431524,Variable set for combination EBA_431524
ECB6,ECB6_EBA_432460,Variable set for combination EBA_432460,EBA_432460,Variable set for combination EBA_432460
ECB6,ECB6_EBA_432495,Variable set for combination EBA_432495,EBA_432495,Variable set for combination EBA_432495
ECB6,ECB6_EBA_432271,Variable set for combination EBA_432271,EBA_432271,Variable set for combination EBA_432271
ECB6,ECB6_EBA_432069,Variable set for combination EBA_432069,EBA_432069,Variable set for combination EBA_432069
ECB6,ECB6_EBA_432057,Variable set for combination EBA_432057,EBA_432057,Variable set for combination EBA_432057
ECB6,ECB6_EBA_432722,Variable set for combination EBA_432722,EBA_432722,Variable set for combination EBA_432722
ECB6,ECB6_EBA_433210,Variable set for combination EBA_433210,EBA_433210,Variable set for combination EBA_433210
ECB6,ECB6_EBA_433230,Variable set for combination EBA_433230,EBA_433230,Variable set for combination EBA_433230
ECB6,ECB6_EBA_433252,Variable set for combination EBA_433252,EBA_433252,Variable set for combination EBA_433252
ECB6,ECB6_EBA_431714,Variable set for combination EBA_431714,EBA_431714,Variable set for combination EBA_431714
ECB6,ECB6_EBA_431734,Variable set for combination EBA_431734,EBA_431734,Variable set for combination EBA_431734
ECB6,ECB6_EBA_431579,Variable set for combination EBA_431579,EBA_431579,Variable set for combination EBA_431579
ECB6,ECB6_EBA_432544,Variable set for combination EBA_432544,EBA_432544,Variable set for combination EBA_432544
ECB6,ECB6_EBA_432580,Variable set for combination EBA_432580,EBA_432580,Variable set for combination EBA_432580
ECB6,ECB6_EBA_432324,Variable set for combination EBA_432324,EBA_432324,Variable set for combination EBA_432324
ECB6,ECB6_EBA_432168,Variable set for combination EBA_432168,EBA_432168,Variable set for combination EBA_432168
ECB6,ECB6_EBA_432156,Variable set for combination EBA_432156,EBA_432156,Variable set for combination EBA_432156
ECB6,ECB6_EBA_432771,Variable set for combination EBA_432771,EBA_432771,Variable set for combination EBA_432771
ECB6,ECB6_EBA_433200,Variable set for combination EBA_433200,EBA_433200,Variable set for combination EBA_433200
ECB6,ECB6_EBA_433220,Variable set for combination EBA_433220,EBA_433220,Variable set for combination EBA_433220
ECB6,ECB6_EBA_433240,Variable set for combination EBA_433240,EBA_433240,Variable set for combination EBA_433240
ECB6,ECB6_EBA_431704,Variable set for combination EBA_431704,EBA_431704,Variable set for combination EBA_431704
ECB6,ECB6_EBA_431724,Variable set for combination EBA_431724,EBA_431724,Variable set for combination EBA_431724
ECB6,ECB6_EBA_431567,Variable set for combination EBA_431567,EBA_431567,Variable set for combination EBA_431567
ECB6,ECB6_EBA_432532,Variable set for combination EBA_432532,EBA_432532,Variable set for combination EBA_432532
ECB6,ECB6_EBA_432567,Variable set for combination EBA_432567,EBA_432567,Variable set for combination EBA_432567
ECB6,ECB6_EBA_432310,Variable set for combination EBA_432310,EBA_432310,Variable set for combination EBA_432310
